ID (do not edit),Content type,Element type,Source language (EN),Target language (IT)
"{""contentId"":""29d7fad8-c2ef-420b-b94a-3d57fc35eaf6"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,70 m² to over 250 m²,70 m² bis über 250 m²
"{""contentId"":""29d7fad8-c2ef-420b-b94a-3d57fc35eaf6"",""fieldId"":""altText1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,View from Monte Carlo Sun residence over Larvotto beach and Mediterranean Sea,Blick von der Monte Carlo Sun Residence auf den Strand von Larvotto und das Mittelmeer
"{""contentId"":""29d7fad8-c2ef-420b-b94a-3d57fc35eaf6"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,La Rousse / Saint Roman,La Rousse / Heiliger Römer
"{""contentId"":""29d7fad8-c2ef-420b-b94a-3d57fc35eaf6"",""fieldId"":""altText2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Exterior of Monte Carlo Sun towers in Monaco with tiered balconies and sunlit terraces,Außenansicht der Sonnentürme von Monte Carlo in Monaco mit abgestuften Balkonen und sonnendurchfluteten Terrassen
"{""contentId"":""29d7fad8-c2ef-420b-b94a-3d57fc35eaf6"",""fieldId"":""priceRent"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">3.200 € – 9.500 €</p>","<p class=""font_8"">3.200 € – 9.500 €</p>"
"{""contentId"":""29d7fad8-c2ef-420b-b94a-3d57fc35eaf6"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Approx. 150 units,Ca. 150 Einheiten
"{""contentId"":""29d7fad8-c2ef-420b-b94a-3d57fc35eaf6"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Terraced Living Among the Riviera Light,Terrassenleben im Licht der Riviera
"{""contentId"":""139408d9-d6cb-421f-beda-8130e7d550a4"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h2 class=""font_4"">1/6&nbsp;Unstoppable Market Growth</h2>","<h2 class=""font_4"">1/6&nbsp;Unaufhaltsames Marktwachstum</h2>"
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">5 - 7</p>","<p class=""font_8"">5 - 7</p>"
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""1MetaDescription"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Les Villas at Mareterra deliver ultra-private, landscaped luxury homes combining space, privacy and Mediterranean gardens on Monaco’s new waterfront.","Les Villas at Mareterra bietet ultraprivate, landschaftlich gestaltete Luxushäuser, die Platz, Privatsphäre und mediterrane Gärten an Monacos neuer Uferpromenade vereinen."
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Dedicated underground garages with private access to each villa,Spezielle Tiefgaragen mit privatem Zugang zu jeder Villa
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,5 to 7 bedrooms; rooftop gardens; private pools; internal lifts,5 bis 7 Schlafzimmer; Dachgärten; private Pools; interne Aufzüge
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Les Villas at Mareterra represent the pinnacle of private luxury in Monaco. Nestled within lush Mediterranean gardens, these ultra-exclusive homes combine privacy, space, and architectural artistry at the highest level.","Les Villas in Mareterra repräsentieren den Gipfel des privaten Luxus in Monaco. Eingebettet in üppige mediterrane Gärten vereinen diese ultra-exklusiven Häuser Privatsphäre, Geräumigkeit und architektonische Kunstfertigkeit auf höchstem Niveau."
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Residents enjoy utmost discretion and tailored service, including dedicated staff entrances, personal concierge teams, spa treatments, and access to all Mareterra’s elite amenities.","Die Bewohner genießen höchste Diskretion und maßgeschneiderten Service, einschließlich spezieller Personaleingänge, persönlicher Concierge-Teams, Spa-Behandlungen und Zugang zu allen erstklassigen Annehmlichkeiten von Mareterra."
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""altText"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Video of Les Villas Monaco contemporary homes in Anse du Portier with sea view,Video der modernen Häuser Les Villas Monaco in Anse du Portier mit Meerblick
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Inspired by Mediterranean estate living, combining nature and seclusion with modern luxury","Inspiriert vom mediterranen Anwesenleben, das Natur und Abgeschiedenheit mit modernem Luxus verbindet"
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Private concierge, wellness spa, gym, valet, garden & pool maintenance, 24/7 security","Privater Concierge, Wellness-Spa, Fitnessstudio, Parkservice, Garten- und Poolpflege, 24/7-Sicherheit"
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Each villa is a multi-level masterpiece featuring double-height ceilings, custom-designed interiors, landscaped rooftop gardens, and direct sea views. Outdoor pools, glass atriums, and internal courtyards are standard features.","Jede Villa ist ein mehrstöckiges Meisterwerk mit doppelt hohen Decken, individuell gestalteten Innenräumen, angelegten Dachgärten und direktem Meerblick. Außenpools, Glasatrien und Innenhöfe gehören zur Standardausstattung."
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Les Villas,Les Villas
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">Price on request</p>","<p class=""font_8"">Preis auf Anfrage</p>"
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"1,500 m² to 2,500 m²",1.500 m² bis 2.500 m²
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""altText1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Aerial view of Les Villas Monaco community of luxury homes by the waterfront,Luftaufnahme der Luxusimmobiliengemeinschaft Les Villas Monaco am Wasser
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Anse du Portier,Anse du Portier
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""altText2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Modern villas at Les Villas Monaco with rooftop gardens and sea outlook,Moderne Villen im Les Villas Monaco mit Dachgärten und Meerblick
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""priceRent"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">Price on request</p>","<p class=""font_8"">Preis auf Anfrage</p>"
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,10 individual private villas,10 individuelle Privatvillen
"{""contentId"":""1b326887-2f14-48b3-81e3-e528ba405f13"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Nature, Reimagined for Billionaire Tastes","Natur, neu interpretiert für den Geschmack von Milliardären"
"{""contentId"":""13f7e959-07e9-4ebc-bdae-578bcac16c9a"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,280f0a_0bf25f4fc61c4406857f3d72b64a5352~mv2.png,280f0a_0bf25f4fc61c4406857f3d72b64a5352~mv2.png
"{""contentId"":""13f7e959-07e9-4ebc-bdae-578bcac16c9a"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,W&R_Logo_blue.png,W&R_Logo_blue.png
"{""contentId"":""0d09822c-8247-4a83-86e1-662f536bf033"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_4""><a dataquery=""#textLink_mfwey3gz"">Le Grande Large</a><br><br></p>","<p class=""font_4""><a dataquery=""#textLink_mfwey3gz"">Le Grande Large</a><br><br></p>"
"{""contentId"":""005a9857-1482-46f6-84d7-2caa6b41c5f1"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h3 class=""font_9"">SPECIALTIES.</h3>","<h3 class=""font_9"">SPEZIALITÄTEN.</h3>"
"{""contentId"":""14943a19-5e80-4536-af29-ad5f9dfb3466"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_7"">Monaco surpasses other high-end real estate hubs like&nbsp;Dubai, London, and Hong Kong.</p>","<p class=""font_7"">Monaco übertrifft andere High-End-Immobilienzentren wie&nbsp;Dubai, London und Hongkong.</p>"
"{""contentId"":""24169d4e-66d7-4d4d-9c9d-cb9d2a2f1b98"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_0"">C</p>","<p class=""font_0"">C</p>"
"{""contentId"":""0d284ceb-18bf-46c2-a2a5-2f07a3cc87b7"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h2 class=""font_0""><span class=""color_18"">M</span><span style=""font-family:futura-lt-w01-light,sans-serif""><span style=""font-weight:400""><span class=""color_18"">ON</span><span class=""color_11"">A</span></span></span><span><span style=""font-weight:400""><span class=""color_11"">C</span></span></span><span style=""font-family:futura-lt-w01-light,sans-serif""><span style=""font-weight:400""><span class=""color_11"">O</span></span></span></h2>","<h2 class=""font_0""><span class=""color_18"">M</span><span style=""font-family:futura-lt-w01-light,sans-serif""><span style=""font-weight:400""><span class=""color_18"">AN</span><span class=""color_11"">A</span></span></span><span><span style=""font-weight:400""><span class=""color_11"">C</span></span></span><span style=""font-family:futura-lt-w01-light,sans-serif""><span style=""font-weight:400""><span class=""color_11"">O</span></span></span></h2>"
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">1 - 3</p>","<p class=""font_8"">1 - 3</p>"
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""1MetaDescription"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Le Trianon offers peaceful, understated luxury within easy reach of Jardin Exotique’s gardens, schools and neighborhood shops.","Le Trianon bietet ruhigen, unaufdringlichen Luxus in der Nähe der Gärten, Schulen und Geschäfte des Jardin Exotique."
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Underground parking,Tiefgarage
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,1 to 3 bedrooms; simple and elegant interiors,1 bis 3 Schlafzimmer; einfache und elegante Innenräume
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Le Trianon offers peaceful, understated luxury within easy reach of Jardin Exotique’s gardens and shops.","Le Trianon bietet ruhigen, unaufdringlichen Luxus in der Nähe der Gärten und Geschäfte des Jardin Exotique."
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Ideal for professionals or investors seeking dependable long-term value.,"Ideal für Profis oder Anleger, die einen zuverlässigen langfristigen Wert suchen."
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""altText"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Le Trianon Monaco Belle Époque residence with ornate facade and sea view,Belle-Époque-Residenz Le Trianon Monaco mit kunstvoller Fassade und Meerblick
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Functional Monaco design built for long-term quality,Funktionelles Monaco-Design für langfristige Qualität
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Lift, security, optional cellars","Aufzug, Sicherheit, optionaler Keller"
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Residences are clean-lined and functional, with balconies and practical layouts.","Die Residenzen sind klar gestaltet und funktional, mit Balkonen und praktischer Raumaufteilung."
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Le Trianon,Le Trianon
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">Price on request</p>","<p class=""font_8"">Preis auf Anfrage</p>"
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,80 m² to 160 m²,80 m² bis 160 m²
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""altText1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,View from Le Trianon Monaco overlooking Monte-Carlo and Mediterranean coast,Blick vom Le Trianon Monaco auf Monte-Carlo und die Mittelmeerküste
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Jardin Exotique,Jardin Exotique
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""altText2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Le Trianon Monaco building with classical architecture, wrought-iron balconies and sea backdrop","Le Trianon Monaco-Gebäude mit klassischer Architektur, schmiedeeisernen Balkonen und Meereskulisse"
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""priceRent"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">5.800&nbsp;€</p>","<p class=""font_8"">5.800&nbsp;€</p>"
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Approx. 20 units,Ca. 20 Einheiten
"{""contentId"":""07a81a15-351c-46cf-b9f4-ed5c79a23949"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Quiet Residential Elegance,Ruhige Wohneleganz
"{""contentId"":""1f30c1db-3d79-46d9-b837-8d58717b3a52"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_7"">Ultra-limited supply pushes prices beyond&nbsp;&euro;100,000/m&sup2;, maintaining high demand.</p>","<p class=""font_7"">Das extrem begrenzte Angebot treibt die Preise auf über&nbsp;&euro;100.000/m&sup2; und sorgt so für eine hohe Nachfrage.</p>"
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,RentALL,Resident permit or private parking in nearby facilities,Aufenthaltserlaubnis oder privater Parkplatz in nahegelegenen Einrichtungen
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,RentALL,3 bedrooms; stone walls; Mediterranean garden; outdoor kitchen,3 Schlafzimmer; Steinmauern; Mediterraner Garten; Außenküche
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,RentALL,"Maison des Oliviers is a refined private home located within a secluded corner of Monaco-Ville, offering stunning views of the sea and a unique sense of old-world charm.",Maison des Oliviers ist ein elegantes Privathaus in einer abgelegenen Ecke von Monaco-Ville und bietet einen atemberaubenden Blick auf das Meer und einen einzigartigen Charme der alten Welt.
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,RentALL,"Combining historic authenticity with modern elegance, this home is ideal for connoisseurs who value discretion, character, and proximity to the Prince’s Palace.","Dieses Haus vereint historische Authentizität mit moderner Eleganz und ist ideal für Kenner, die Wert auf Diskretion, Charakter und die Nähe zum Fürstenpalast legen."
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,RentALL,Historic Mediterranean home with romantic cliffside setting,Historisches mediterranes Haus mit romantischer Klippenlage
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,RentALL,"Private terrace, security system, air conditioning, outdoor lounge","Private Terrasse, Sicherheitssystem, Klimaanlage, Lounge im Freien"
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,RentALL,"The residence features original stone walls, Provençal shutters, designer interiors, and terraced outdoor living with lush gardens and breathtaking cliffside views.","Die Residenz verfügt über originale Steinmauern, provenzalische Fensterläden, Designer-Interieur und einen terrassenförmig angelegten Außenbereich mit üppigen Gärten und atemberaubendem Blick auf die Klippen."
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,RentALL,Maison des Oliviers,Maison des Oliviers
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,RentALL,Approx. 320 m² + outdoor terraces,Ca. 320 m² + Außenterrassen
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""price21"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,RentALL,Monaco-Ville,Monaco-Ville
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,RentALL,1 townhouse-style residence,1 Residenz im Stadthausstil
"{""contentId"":""2be490a3-12e9-4f7f-a5c2-1fe4f6176455"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,RentALL,Mediterranean Charm Meets Discreet Sophistication,Mediterraner Charme trifft auf diskrete Eleganz
"{""contentId"":""00f7d7f9-f27b-4cce-84ec-da03e886ff04"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h1 class=""font_0"">BUY</h1>","<h1 class=""font_0"">KAUFEN</h1>"
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">2 - 5</p>","<p class=""font_8"">2 - 5</p>"
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""1MetaDescription"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Bay House is a new ultra-luxury development in Larvotto, offering expansive interiors, direct Mediterranean views and cutting-edge design.","Bay House ist ein neues, ultra-luxuriöses Projekt in Larvotto, das weitläufige Innenräume, direkten Blick auf das Mittelmeer und modernstes Design bietet."
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Private underground garages with direct elevator access,Private Tiefgaragen mit direktem Aufzugszugang
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,2 to 5 bedrooms; private pools; panoramic terraces; custom luxury interiors,2 bis 5 Schlafzimmer; private Pools; Panoramaterrassen; individuelle Luxus-Innenräume
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Bay House is Monaco’s newest ultra-luxury residential development located in the revitalized Larvotto seaside zone, offering direct views of the Mediterranean and cutting-edge design.",Bay House ist Monacos neueste Ultra-Luxus-Wohnanlage im revitalisierten Küstengebiet Larvotto und bietet direkten Blick auf das Mittelmeer und modernstes Design.
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Exclusive amenities include a wellness center, beauty salon, valet, private butler, concierge services, and direct access to Larvotto Beach and Mareterra.","Zu den exklusiven Annehmlichkeiten gehören ein Wellnesscenter, ein Schönheitssalon, ein Parkservice, ein privater Butler, ein Concierge-Service und direkter Zugang zum Strand von Larvotto und Mareterra."
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""altText"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Video of Bay House Monaco residences with expansive terraces and Mediterranean view,Video von Bay House Monaco-Residenzen mit weitläufigen Terrassen und Blick auf das Mittelmeer
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Futuristic coastal architecture integrated into the new Larvotto masterplan and Mareterra extension,Futuristische Küstenarchitektur integriert in den neuen Larvotto-Masterplan und die Mareterra-Erweiterung
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"24/7 concierge, wellness center, beauty spa, valet, security, private event services","Concierge rund um die Uhr, Wellnesscenter, Beauty-Spa, Parkservice, Sicherheitsdienst, private Veranstaltungsdienste"
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Residences boast full-height windows, vast terraces, private swimming pools, and interiors crafted by leading European designers. Some penthouses span multiple floors with rooftop gardens and panoramic sea views.","Die Residenzen verfügen über raumhohe Fenster, große Terrassen, private Swimmingpools und Innenräume, die von führenden europäischen Designern gestaltet wurden. Einige Penthäuser erstrecken sich über mehrere Etagen mit Dachgärten und Panoramablick auf das Meer."
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Bay House Monaco,Bay House Monaco
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">22.800.000 € – 52.000.000 €</p>","<p class=""font_8"">22.800.000 € – 52.000.000 €</p>"
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"300 m² to 1,000+ m²",300 m² bis 1.000+ m²
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""altText1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,View of Bay House Monaco from the sea with layered balconies,Blick auf das Bay House Monaco vom Meer aus mit geschichteten Balkonen
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Larvotto,Larvotto
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""altText2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Bay House Monaco building with tiered terraces cascading toward the waterfront,"Bay House Monaco-Gebäude mit abgestuften Terrassen, die kaskadenförmig zum Wasser hin verlaufen"
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""priceRent"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">105.000 € – 110.000 €</p>","<p class=""font_8"">105.000 € – 110.000 €</p>"
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,56 private residences,56 Privathäuser
"{""contentId"":""1e368d6f-087d-4e0b-9d8d-eaa224430333"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Next-Generation Waterfront Nobility,Waterfront-Adel der nächsten Generation
"{""contentId"":""469a3ae0-52db-401f-b53b-3d4c1c00762d"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""469a3ae0-52db-401f-b53b-3d4c1c00762d"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,RentALL,Underground garage with private spaces,Tiefgarage mit privaten Räumen
"{""contentId"":""469a3ae0-52db-401f-b53b-3d4c1c00762d"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,RentALL,2 to 4 bedrooms; full sea views; luxury materials throughout,2 bis 4 Schlafzimmer; voller Meerblick; Luxuriöse Materialien im gesamten Gebäude
"{""contentId"":""469a3ae0-52db-401f-b53b-3d4c1c00762d"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,RentALL,"Le Roccabella is a luxurious high-rise residence located along Avenue Princesse Grace, offering front-row views of Larvotto Beach and refined urban living.",Le Roccabella ist eine luxuriöse Hochhausresidenz an der Avenue Princesse Grace und bietet Blick aus der ersten Reihe auf den Strand von Larvotto und elegantes Stadtleben.
